NET,SCHOOL
194,ABILENE CHR.
220,AIR FORCE
73,AKRON
55,ALABAMA
340,ALABAMA A&M
337,ALABAMA ST.
268,ALBANY
324,ALCORN ST.
197,AMERICAN
181,APP. ST.
14,ARIZONA
54,ARIZONA ST.
348,ARK.-PINE BLUFF
43,ARKANSAS
202,ARKANSAS ST.
266,ARMY
27,AUBURN
163,AUSTIN PEAY
112,BALL ST.
5,BAYLOR
101,BELMONT
286,BETHUNE-COOK.
332,BINGHAMTON
90,BOISE ST.
157,BOSTON COLLEGE
160,BOSTON U.
159,BOWLING GREEN
102,BRADLEY
225,BROWN
242,BRYANT
239,BUCKNELL
146,BUFFALO
19,BUTLER
9,BYU
198,C. MICHIGAN
200,CAL BAPTIST
323,CAL POLY
283,CAL-BAKER.
139,CALIFORNIA
258,CAMPBELL
253,CANISIUS
347,CCSU
315,CENT. ARKANSAS
152,CHARLESTON
316,CHARLESTON SO.
176,CHARLOTTE
153,CHATTANOOGA
353,CHICAGO ST.
51,CINCINNATI
81,CLEMSON
304,CLEV. ST.
188,COASTAL CAROLINA
121,COLGATE
25,COLORADO
106,COLORADO ST.
317,COLUMBIA
60,CONNECTICUT
322,COPPIN ST.
293,CORNELL
11,CREIGHTON
261,CSFULLERTON
233,CSNORTHRIDGE
211,DARTMOUTH
75,DAVIDSON
3,DAYTON
180,DELAWARE
345,DELAWARE ST.
326,DENVER
86,DEPAUL
307,DETROIT
156,DRAKE
237,DREXEL
6,DUKE
94,DUQUESNE
241,E. ILLINOIS
291,E. KENTUCKY
191,E. MICHIGAN
135,E. WASHINGTON
208,EAST CAROLINA
259,ELON
36,ETSU
264,EVANSVILLE
281,F. DICKINSON
285,FAIRFIELD
193,FAU
312,FGCU
170,FIU
29,FLORIDA
303,FLORIDA A&M
10,FLORIDA ST.
244,FORDHAM
161,FRESNO ST.
74,FURMAN
212,G-WEBB
147,GA. SOUTHERN
167,GEORGE MASON
219,GEORGE WASH.
65,GEORGETOWN
91,GEORGIA
134,GEORGIA ST.
72,GEORGIA TECH
1,GONZAGA
300,GRAMBLING
278,GRAND CANYON
221,GREEN BAY
308,HAMPTON
246,HARTFORD
107,HARVARD
215,HAWAII
333,HIGH POINT
118,HOFSTRA
343,HOLY CROSS
20,HOUSTON
344,HOUSTON BAP.
349,HOWARD
320,IDAHO
279,IDAHO ST.
217,ILL.-CHICAGO
39,ILLINOIS
196,ILLINOIS ST.
346,INCARNATE WORD
56,INDIANA
105,INDIANA ST.
224,IONA
34,IOWA
96,IOWA ST.
327,IUPUI
289,JACKSON ST.
251,JACKSONVILLE
280,JAMES MADISON
284,JAX. STATE
2,KANSAS
99,KANSAS ST.
352,KENNESAW ST.
117,KENT ST.
21,KENTUCKY
171,LA SALLE
223,LAFAYETTE
267,LAMAR
306,LBSU
288,LEHIGH
67,LIBERTY
254,LIPSCOMB
140,LITTLE ROCK
272,LIU
207,LMU
302,LONGWOOD
230,LOUISIANA
87,LOUISIANA TECH
8,LOUISVILLE
98,LOYOLA-CHI.
248,LOYOLA-MD.
28,LSU
318,MAINE
269,MANHATTAN
311,MARIST
26,MARQUETTE
172,MARSHALL
18,MARYLAND
132,MASSACHUSETTS
295,MCNEESE ST.
350,MD.-E. SHORE
59,MEMPHIS
187,MERCER
216,MERRIMACK
103,MIAMI (FLA.)
206,MIAMI (OHIO)
24,MICHIGAN
7,MICHIGAN ST.
296,MIDDLE TENN.
262,MILWAUKEE
42,MINNESOTA
351,MISS VALLEY ST.
50,MISS. STATE
84,MISSOURI
119,MISSOURI ST.
209,MONMOUTH
141,MONTANA
229,MONTANA ST.
321,MOREHEAD ST.
313,MORGAN ST.
299,MT ST MARY'S
133,MURRAY ST.
298,N. ALABAMA
227,N. ARIZONA
80,N. CAROLINA
100,N. COLORADO
130,N. DAK. ST.
174,N. ILLINOIS
150,N. KENTUCKY
104,N. MEX. ST.
310,N.J. TECH
243,NAVY
263,NC A&T
256,NC CENTRAL
53,NC STATE
234,NEB.-OMAHA
199,NEBRASKA
89,NEVADA
238,NEW HAMP.
143,NEW MEXICO
335,NEW ORLEANS
309,NIAGARA
192,NICHOLLS ST.
247,NORFOLK ST.
249,NORTH DAKOTA
175,NORTH FLORIDA
95,NORTH TEXAS
128,NORTHEASTERN
48,NORTHERN IOWA
164,NORTHWESTERN
301,NORTHWESTERN ST.
52,NOTRE DAME
222,OAKLAND
158,OHIO
16,OHIO ST.
46,OKLAHOMA
64,OKLAHOMA ST.
173,OLD DOMINION
97,OLE MISS
144,ORAL ROBERTS
12,OREGON
71,OREGON ST.
110,PACIFIC
149,PENN
35,PENN ST.
131,PEPPERDINE
282,PFW
109,PITTSBURGH
275,PORTLAND
179,PORTLAND ST.
201,PRAIRIE VIEW
330,PRESBYTERIAN
166,PRINCETON
37,PROVIDENCE
32,PURDUE
245,QUINNIPIAC
183,RADFORD
57,RHODE ISLAND
214,RICE
38,RICHMOND
185,RIDER
203,ROBERT MORRIS
30,RUTGERS
126,S. DAK. ST.
162,S. ILLINOIS
186,SACRAMENTO ST.
190,SACRED HEART
240,SAINT JOSEPH'S
49,SAINT LOUIS
31,SAINT MARY'S
228,SAM HOU. ST.
325,SAMFORD
231,SAN DIEGO
4,SAN DIEGO ST
83,SAN FRAN.
287,SAN JOSE ST.
145,SANTA CLARA
329,SC STATE
319,SC UPSTATE
341,SE LOUISIANA
342,SE MISSOURI ST.
226,SEATTLE
15,SETON HALL
77,SF AUSTIN
151,SIENA
336,SIUE
88,SMU
290,SO. MISS
184,SO. UTAH
169,SOUTH ALABAMA
66,SOUTH CAROLINA
182,SOUTH DAKOTA
125,SOUTH FLORIDA
265,SOUTHERN U.
122,ST. BONA.
305,ST. FRAN.-NY
62,ST. JOHN'S
213,ST. PETER'S
33,STANFORD
294,STETSON
189,STONY BROOK
61,SYRACUSE
93,TCU
116,TEMPLE
331,TENN. TECH
63,TENNESSEE
270,TENNESSEE ST.
70,TEXAS
113,TEXAS A&M
314,TEXAS A&M-CC
276,TEXAS SO.
120,TEXAS ST.
22,TEXAS TECH
339,THE CITADEL
137,TOLEDO
154,TOWSON
274,TROY
168,TULANE
78,TULSA
205,UAB
218,UC DAVIS
114,UC IRVINE
210,UC RIVERSIDE
124,UCF
76,UCLA
177,UCSB
255,UL-MONROE
257,UMASS LOWELL
236,UMBC
252,UMKC
277,UNC-ASH.
297,UNC-WILM.
82,UNCG
108,UNLV
45,USC
338,UT MARTIN
129,UT-ARLINGTON
260,UT-RIO GRANDE VALLEY
204,UT-SAN ANTONIO
85,UTAH
40,UTAH ST.
250,UTAH VALLEY
195,UTEP
92,VA. TECH
138,VALPARAISO
142,VANDERBILT
68,VCU
79,VERMONT
13,VILLANOVA
44,VIRGINIA
292,VMI
136,W. CAROLINA
334,W. ILLINOIS
123,W. KENTUCKY
235,W. MICHIGAN
17,W. VIRGINIA
328,WAGNER
111,WAKE FOREST
58,WASHINGTON
115,WASHINGTON ST.
273,WEBER ST.
41,WICHITA ST.
165,WILLIAM & MARY
148,WINTHROP
23,WISCONSIN
155,WOFFORD
127,WRIGHT ST.
271,WYOMING
47,XAVIER
69,YALE
232,YOUNGSTOWN ST.
